wlbWellboreName,wlbWell,wlbDrillingOperator,wlbProductionLicence,wlbPurpose,wlbStatus,wlbContent,wlbWellType,wlbSubSea,wlbEntryDate,wlbCompletionDate,wlbField,wlbDrillPermit,wlbDiscovery,wlbDiscoveryWellbore,wlbBottomHoleTemperature,wlbSiteSurvey,wlbSeismicLocation,wlbMaxInclation,wlbKellyBushElevation,wlbFinalVerticalDepth,wlbTotalDepth,wlbWaterDepth,wlbKickOffPoint,wlbAgeAtTd,wlbFormationAtTd,wlbMainArea,wlbDrillingFacility,wlbFacilityTypeDrilling,wlbDrillingFacilityFixedOrMoveable,wlbLicensingActivity,wlbMultilateral,wlbPurposePlanned,wlbEntryYear,wlbCompletionYear,wlbReclassFromWellbore,wlbReentryExplorationActivity,wlbPlotSymbol,wlbFormationWithHc1,wlbAgeWithHc1,wlbFormationWithHc2,wlbAgeWithHc2,wlbFormationWithHc3,wlbAgeWithHc3,wlbDrillingDays,wlbReentry,wlbLicenceTargetName,wlbPluggedAbandonDate,wlbPluggedDate,wlbGeodeticDatum,wlbNsDeg,wlbNsMin,wlbNsSec,wlbNsCode,wlbEwDeg,wlbEwMin,wlbEwSec,wlbEwCode,wlbNsDecDeg,wlbEwDesDeg,wlbNsUtm,wlbEwUtm,wlbUtmZone,wlbNamePart1,wlbNamePart2,wlbNamePart3,wlbNamePart4,wlbNamePart5,wlbNamePart6,wlbPressReleaseUrl,wlbFactPageUrl,wlbFactMapUrl,wlbDiskosWellboreType,wlbDiskosWellboreParent,wlbWdssQcDate,wlbReleasedDate,wlbDateReclass,wlbNpdidWellbore,dscNpdidDiscovery,fldNpdidField,fclNpdidFacilityDrilling,wlbNpdidWellboreReclass,prlNpdidProductionLicence,wlbNpdidSiteSurvey,wlbDateUpdated,wlbDateUpdatedMax,datesyncNPD
15/3-12 S,15/3-12,Equinor Energy AS,025 ,WILDCAT,DRILLING,,EXPLORATION, NO,03.12.2019,,,1797-L,,NO,,ST15305,PGS16M04-PGS16910VIK,,38.6,,0.0,109.0,,                    ,,NORTH SEA,WEST PHOENIX,SEMISUB STEEL,MOVEABLE,2-A,NO,WILDCAT,2019,0,,,80,,,,,,                    ,0,NO,,,,ED50  ,58,46,53.25,N,1,54,13.43,E,58.78145799999999,1.903731,6516386.04,436616.78,31,15,3, ,12,S,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8947,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=8947,initial             ,                                        ,,,,8947,,,390874.0,0,34512.0,8190.0,05.12.2019,,08.12.2019
25/7-8 S,25/7-8,ConocoPhillips Skandinavia AS,917 ,WILDCAT,DRILLING,,EXPLORATION, NO,13.11.2019,,,1796-L,,NO,,CP19301,CP19301-2009 / PGS16M01CPR19 IL:28464. XL:14592,,25.0,,0.0,126.5,,                    ,,NORTH SEA,LEIV EIRIKSSON,SEMISUB STEEL,MOVEABLE,TFO2017,NO,WILDCAT,2019,0,,,80,,,,,,                    ,0,NO,,,,ED50  ,59,16,32.93,N,2,17,14.84,E,59.275814000000004,2.287456,6571133.87,459389.02,31,25,7, ,8,S,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8933,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=8933,initial             ,                                        ,,,,8933,,,297865.0,0,30674650.0,8967.0,14.11.2019,,08.12.2019
25/8-19 S,25/8-19,MOL Norge AS,820 S,WILDCAT,DRILLING,,EXPLORATION, NO,02.11.2019,,,1795-L,,NO,,MOL18300,PGS16M01-PGS1517VIK (IL 36471. XL 132652),,23.0,,0.0,125.5,,                    ,,NORTH SEA,DEEPSEA BERGEN,SEMISUB STEEL,MOVEABLE,TFO2015,NO,WILDCAT,2019,0,,,80,,,,,,                    ,0,NO,,,,ED50  ,59,20,13.21,N,2,21,53.28,E,59.337003,2.3648,6577903.13,463862.08,31,25,8, ,19,S,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8932,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=8932,initial             ,                                        ,,,,8932,,,287983.0,0,27396207.0,8940.0,04.11.2019,,08.12.2019
31/5-7,31/5-7,Equinor Energy AS,,WILDCAT-CCS,DRILLING,,EXPLORATION, NO,02.12.2019,,,1799-L,,NO,,EQ19311,3D inline 7598 and crossline 22821 (3D Cube CHGG17M01),,31.0,,0.0,307.0,,                    ,,NORTH SEA,WEST HERCULES,SEMISUB STEEL,MOVEABLE,,NO,WILDCAT-CCS,2019,0,,,0,,,,,,                    ,0,NO,,,,ED50  ,60,34,35.15,N,3,26,36.15,E,60.57643100000001,3.443375,6715849.93,524300.05,31,31,5, ,7,,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8951,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=8951,initial             ,                                        ,,,,8951,,,415836.0,0,,8981.0,03.12.2019,,08.12.2019
6507/7-16 S,6507/7-16,DNO North Sea (Norge) AS,888 ,WILDCAT,DRILLING,,EXPLORATION, NO,28.10.2019,,,1792-L,,NO,,FP19300,Inline 3367. Xline 4405,,30.0,,0.0,339.0,,                    ,,NORWEGIAN SEA,ISLAND INNOVATOR,SEMISUB STEEL,MOVEABLE,TFO2016,NO,WILDCAT,2019,0,,,80,,,,,,                    ,0,NO,,,,ED50  ,65,19,54.62,N,7,11,51.72,E,65.331839,7.1977,7246819.87,416070.06,32,6507,7, ,16,S,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8909,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=8909,initial             ,                                        ,,,,8909,,,426940.0,0,28974258.0,8991.0,29.10.2019,,08.12.2019
6604/6-1,6604/6-1,Wintershall Dea Norge AS,894 ,WILDCAT,DRILLING,,EXPLORATION, NO,01.12.2019,,,1800-L,,NO,,,Win18M01 Inline 16968; Crossline 27527,,34.0,,0.0,1127.0,,                    ,,NORWEGIAN SEA,SCARABEO 8,SEMISUB STEEL,MOVEABLE,TFO2016,NO,WILDCAT,2019,0,,,80,,,,,,                    ,0,NO,,,,ED50  ,66,36,15.35,N,4,53,56.34,E,66.604264,4.898983,7388734.05,584137.96,31,6604,6, ,1,,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8952,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=8952,initial             ,                                        ,,,,8952,,,404415.0,0,28974489.0,,03.12.2019,,08.12.2019
