wlbWellboreName,wlbWell,wlbDrillingOperator,wlbProductionLicence,wlbPurpose,wlbStatus,wlbContent,wlbWellType,wlbSubSea,wlbEntryDate,wlbCompletionDate,wlbField,wlbDrillPermit,wlbDiscovery,wlbDiscoveryWellbore,wlbBottomHoleTemperature,wlbSiteSurvey,wlbSeismicLocation,wlbMaxInclation,wlbKellyBushElevation,wlbFinalVerticalDepth,wlbTotalDepth,wlbWaterDepth,wlbKickOffPoint,wlbAgeAtTd,wlbFormationAtTd,wlbMainArea,wlbDrillingFacility,wlbFacilityTypeDrilling,wlbDrillingFacilityFixedOrMoveable,wlbLicensingActivity,wlbMultilateral,wlbPurposePlanned,wlbEntryYear,wlbCompletionYear,wlbReclassFromWellbore,wlbReentryExplorationActivity,wlbPlotSymbol,wlbFormationWithHc1,wlbAgeWithHc1,wlbFormationWithHc2,wlbAgeWithHc2,wlbFormationWithHc3,wlbAgeWithHc3,wlbDrillingDays,wlbReentry,wlbLicenceTargetName,wlbPluggedAbandonDate,wlbPluggedDate,wlbGeodeticDatum,wlbNsDeg,wlbNsMin,wlbNsSec,wlbNsCode,wlbEwDeg,wlbEwMin,wlbEwSec,wlbEwCode,wlbNsDecDeg,wlbEwDesDeg,wlbNsUtm,wlbEwUtm,wlbUtmZone,wlbNamePart1,wlbNamePart2,wlbNamePart3,wlbNamePart4,wlbNamePart5,wlbNamePart6,wlbPressReleaseUrl,wlbFactPageUrl,wlbFactMapUrl,wlbDiskosWellboreType,wlbDiskosWellboreParent,wlbWdssQcDate,wlbReleasedDate,wlbDateReclass,wlbNpdidWellbore,dscNpdidDiscovery,fldNpdidField,fclNpdidFacilityDrilling,wlbNpdidWellboreReclass,prlNpdidProductionLicence,wlbNpdidSiteSurvey,wlbDateUpdated,wlbDateUpdatedMax,datesyncNPD
30/8-1 A,30/8-1,Norsk Hydro Produksjon AS,190 ,WILDCAT,WILL NEVER BE DRILLED,,EXPLORATION, NO,,,TUNE,837-L,30/8-1 S Tune,NO,,,VG-91.CROSSLINE 546.INLINE 227,,26.0,,0.0,96.0,,                    ,,NORTH SEA,,,,14,NO,WILDCAT,0,0,,,80,,,,,,                    ,0,NO,,,,ED50  ,60,27,46.93,N,2,38,6.53,E,60.463035999999995,2.635147,6703193.6,479933.47,31,30,8, ,1,A,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=2730,,sidetrack           ,30/8-1 S                                ,,,,2730,44456.0,853376.0,,0,22332.0,,03.10.2019,,08.12.2019
30/11-13 A,30/11-13,Statoil Petroleum AS,272 ,APPRAISAL,WILL NEVER BE DRILLED,,EXPLORATION, NO,,,,1619-L,,NO,,,MC3D-NVG05STZ12-PDSM-KIR-FULLSTK-FIN-D In-line: 1491 X-line: 2472,,29.0,,0.0,105.0,,                    ,,NORTH SEA,SONGA DELTA,SEMISUB STEEL,MOVEABLE,NST2001,NO,APPRAISAL,0,0,,,80,,,,,,                    ,0,NO,,,,ED50  ,60,9,55.78,N,2,35,35.13,E,60.165493999999995,2.593092,6670068.03,477416.01,31,30,11, ,13,A,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=7949,,sidetrack           ,30/11-13                                ,,,,7949,,,287821.0,0,2060232.0,,03.10.2019,,08.12.2019
30/11-14 A,30/11-14,Statoil Petroleum AS,272 ,APPRAISAL,WILL NEVER BE DRILLED,,EXPLORATION, NO,,,,1627-L,,NO,,,MC3D-NVG05STZ12-PSDM-KIR-FULLSTK-FIN-D In-line 1581 X-line: 2576,,29.0,,0.0,107.0,,                    ,,NORTH SEA,SONGA DELTA,SEMISUB STEEL,MOVEABLE,NST2001,NO,APPRAISAL,0,0,,,80,,,,,,                    ,0,NO,,,,ED50  ,60,11,29.91,N,2,35,11.08,E,60.191642,2.586411,6672982.46,477063.48,31,30,11, ,14,A,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=7983,,sidetrack           ,30/11-14                                ,,,,7983,,,287821.0,0,2060232.0,,03.10.2019,,08.12.2019
31/4-12 A,31/4-12,Norsk Hydro Produksjon AS,055 ,WILDCAT,WILL NEVER BE DRILLED,,EXPLORATION, NO,,,,1091-L,,NO,,,NH9204:inline1800. crossline 1200,,25.0,,0.0,210.0,,                    ,,NORTH SEA,DEEPSEA TRYM,SEMISUB STEEL,MOVEABLE,4,NO,WILDCAT,0,0,,,80,,,,,,                    ,0,NO,,,,ED50  ,60,35,45.4,N,3,9,51.96,E,60.595943999999996,3.1644330000000003,6717952.8,509006.7,31,31,4, ,12,A,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5054,,sidetrack           ,31/4-12                                 ,,,,5054,,,296164.0,0,21236.0,,03.10.2019,,08.12.2019
35/9-4 SR,35/9-4,Statoil ASA (old),153 ,APPRAISAL,WILL NEVER BE DRILLED,NOT APPLICABLE,EXPLORATION, NO,,,GJØA,930-L2,35/9-2,NO,,, ,,23.5,,1261.0,364.0,,                    ,,NORTH SEA,TRANSOCEAN LEADER,SEMISUB STEEL,MOVEABLE,12,NO,APPRAISAL,0,0,,PLUGGING,80,,,,,,                    ,0,YES,,,,ED50  ,61,19,32.5,N,3,57,55.23,E,61.32569399999999,3.9653419999999997,6799609.42,551677.16,31,35,9, ,4,SR,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5228,,re-entry            ,35/9-4 S                                ,,,,5228,2449421.0,4467574.0,296677.0,0,22036.0,,03.10.2019,10.03.2019,08.12.2019
35/10-4 B,35/10-4,Equinor Energy AS,630 ,APPRAISAL,WILL NEVER BE DRILLED,,EXPLORATION, NO,,,,1713-L,,NO,,,CGG17M01 inline 7119 / xline 27917,,23.0,,0.0,363.0,,                    ,,NORTH SEA,DEEPSEA BERGEN,SEMISUB STEEL,MOVEABLE,TFO2011,NO,APPRAISAL,0,0,,,80,,,,,,                    ,0,NO,,,,ED50  ,61,8,55.52,N,3,17,5.11,E,61.148756000000006,3.284753,6779551.01,515329.75,31,35,10, ,4,B,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8501,,sidetrack           ,35/10-4 A                               ,,,,8501,,,287983.0,0,21560745.0,,03.10.2019,,08.12.2019
6406/9-1 A,6406/9-1,A/S Norske Shell,255 ,APPRAISAL,WILL NEVER BE DRILLED,,EXPLORATION, NO,,,,1095-L,,NO,,, ,,23.5,,0.0,308.0,,                    ,,NORWEGIAN SEA,TRANSOCEAN LEADER,SEMISUB STEEL,MOVEABLE,16,NO,APPRAISAL,0,0,,,80,,,,,,                    ,0,NO,,,,ED50  ,64,26,46.85,N,6,48,55.23,E,64.446347,6.815342,7148739.49,394862.07,32,6406,9, ,1,A,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5099,,sidetrack           ,6406/9-1                                ,,,,5099,,,296677.0,0,1032979.0,,03.10.2019,,08.12.2019
6407/7-3 R,6407/7-3,Norsk Hydro Produksjon AS,107 ,APPRAISAL,WILL NEVER BE DRILLED,,EXPLORATION, NO,,,,573-L2,,NO,,, ,,25.0,,0.0,333.0,,                    ,,NORWEGIAN SEA,,,,9,NO,WILDCAT,0,0,,,80,,,,,,                    ,0,YES,,,,ED50  ,64,16,44.34,N,7,9,0.13,E,64.278983,7.150036,7129582.24,410422.66,32,6407,7, ,3,R,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=4638,,re-entry            ,6407/7-3                                ,,,,4638,,,,0,21660.0,,03.10.2019,,08.12.2019
6407/7-4 R,6407/7-4,Norsk Hydro Produksjon AS,107 ,APPRAISAL,WILL NEVER BE DRILLED,,EXPLORATION, NO,,,,600-L2,,NO,,, ,,25.0,,0.0,328.0,,                    ,,NORWEGIAN SEA,,,,9,NO,APPRAISAL,0,0,,,80,,,,,,                    ,0,YES,,,,ED50  ,64,15,43.43,N,7,13,25.84,E,64.262064,7.223844000000001,7127595.36,413943.15,32,6407,7, ,4,R,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=4639,,re-entry            ,6407/7-4                                ,,,,4639,,,,0,21660.0,,03.10.2019,,08.12.2019
6608/10-7 A,6608/10-7,Den norske stats oljeselskap a.s,128 ,APPRAISAL,WILL NEVER BE DRILLED,,EXPLORATION, NO,,,,1001-L,,NO,,,inline 2480-crossline 2218-survey ST9301,,31.0,,0.0,377.0,,                    ,,NORWEGIAN SEA,,,,10-B,NO,APPRAISAL,0,0,,,80,,,,,,                    ,0,NO,,,,ED50  ,66,4,41.5,N,8,14,43.28,E,66.078194,8.245356,7329017.24,465853.1,32,6608,10, ,7,A,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=4274,,sidetrack           ,6608/10-7                               ,,,,4274,,,,0,21836.0,,03.10.2019,,08.12.2019
6710/6-1,6710/6-1,Norsk Hydro Produksjon AS,219 ,WILDCAT,WILL NEVER BE DRILLED,,EXPLORATION, NO,,,,1009-L,,NO,,,NH9766 2D LINJE 405,,24.0,,0.0,179.0,,                    ,,NORWEGIAN SEA,,,,15,NO,WILDCAT,0,0,,,80,,,,,,                    ,0,NO,,,,ED50  ,67,38,15.42,N,10,45,3.32,E,67.637617,10.750922000000001,7503707.17,574335.84,32,6710,6, ,1,,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=3307,,initial             ,                                        ,,,,3307,,,,0,22564.0,,03.10.2019,,08.12.2019
7223/5-1 A,7223/5-1,StatoilHydro Petroleum AS,228 ,APPRAISAL,WILL NEVER BE DRILLED,,EXPLORATION, NO,,,,1219-L,,NO,,,3d SURVEY-SG9804-inline 8505 & crossline 6895,,23.0,,0.0,332.0,,                    ,,BARENTS SEA,POLAR PIONEER,SEMISUB STEEL,MOVEABLE,BARENTSHAVPROSJEKTET-97,NO,APPRAISAL,0,0,,,80,,,,,,                    ,0,NO,,,,ED50  ,72,32,6.18,N,23,20,7.74,E,72.53505,23.335483,8052579.21,377307.19,35,7223,5, ,1,A,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=6011,,sidetrack           ,7223/5-1                                ,,,,6011,,,289333.0,0,22636.0,,03.10.2019,,08.12.2019
