wlbWellboreName,wlbWell,wlbDrillingOperator,wlbProductionLicence,wlbPurpose,wlbStatus,wlbContent,wlbWellType,wlbSubSea,wlbEntryDate,wlbCompletionDate,wlbField,wlbDrillPermit,wlbDiscovery,wlbDiscoveryWellbore,wlbBottomHoleTemperature,wlbSiteSurvey,wlbSeismicLocation,wlbMaxInclation,wlbKellyBushElevation,wlbFinalVerticalDepth,wlbTotalDepth,wlbWaterDepth,wlbKickOffPoint,wlbAgeAtTd,wlbFormationAtTd,wlbMainArea,wlbDrillingFacility,wlbFacilityTypeDrilling,wlbDrillingFacilityFixedOrMoveable,wlbLicensingActivity,wlbMultilateral,wlbPurposePlanned,wlbEntryYear,wlbCompletionYear,wlbReclassFromWellbore,wlbReentryExplorationActivity,wlbPlotSymbol,wlbFormationWithHc1,wlbAgeWithHc1,wlbFormationWithHc2,wlbAgeWithHc2,wlbFormationWithHc3,wlbAgeWithHc3,wlbDrillingDays,wlbReentry,wlbLicenceTargetName,wlbPluggedAbandonDate,wlbPluggedDate,wlbGeodeticDatum,wlbNsDeg,wlbNsMin,wlbNsSec,wlbNsCode,wlbEwDeg,wlbEwMin,wlbEwSec,wlbEwCode,wlbNsDecDeg,wlbEwDesDeg,wlbNsUtm,wlbEwUtm,wlbUtmZone,wlbNamePart1,wlbNamePart2,wlbNamePart3,wlbNamePart4,wlbNamePart5,wlbNamePart6,wlbPressReleaseUrl,wlbFactPageUrl,wlbFactMapUrl,wlbDiskosWellboreType,wlbDiskosWellboreParent,wlbWdssQcDate,wlbReleasedDate,wlbDateReclass,wlbNpdidWellbore,dscNpdidDiscovery,fldNpdidField,fclNpdidFacilityDrilling,wlbNpdidWellboreReclass,prlNpdidProductionLicence,wlbNpdidSiteSurvey,wlbDateUpdated,wlbDateUpdatedMax,datesyncNPD
15/6-14 S,15/6-14,Statoil Petroleum AS,029 C,WILDCAT,PLUGGED,DRY,EXPLORATION, NO,20.12.2017,26.12.2017,,1675-L,,NO,,,Survey MC3DQ16STZ16. Xline 1661. Inline 1162,,65.5,,4684.0,116.0,3340.0,MIDDLE JURASSIC     ,,NORTH SEA,MAERSK INTEGRATOR,JACK-UP 3 LEGS,MOVEABLE,2-A,NO,WILDCAT,2017,2017,,,1,,,,,,                    ,7,NO,,,26.12.2017,ED50  ,58,34,19.36,N,1,41,48.81,E,58.57204399999999,1.6968919999999998,6493284.8,424205.75,31,15,6, ,14,S,,https://www.npd.no/fakta/nyheter/Resultat-av-leteboring/2018/156-14-S/,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8293,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=8293,initial             ,                                        ,26.12.2019,26.12.2019,,8293,,,439774.0,0,22493034.0,,03.10.2019,09.03.2019,08.12.2019
24/9-15 A,24/9-15,Aker BP ASA,340 ,APPRAISAL,PLUGGED,OIL,EXPLORATION, NO,19.04.2019,24.04.2019,,1752-L,24/9-12 S (Frosk),NO,,RPS 1101,,,34.0,,3853.0,119.0,1870.0,EOCENE              ,,NORTH SEA,SCARABEO 8,SEMISUB STEEL,MOVEABLE,TFO2004,NO,APPRAISAL,2019,2019,,,5,,EOCENE,,,,                    ,6,NO,,,24.04.2019,ED50  ,59,20,29.04,N,1,49,55.35,E,59.3414,1.8320419999999997,6578803.03,433562.43,31,24,9, ,15,A,,https://www.npd.no/fakta/nyheter/Resultat-av-leteboring/2019/lite-oljefunn-og-avgrensning-av-oljefunnet-249-12-s-frosk-i-nordsjoen--249-15-s-og-249-15-a/,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8676,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=8676,sidetrack           ,24/9-15 S                               ,,24.04.2021,,8676,31140456.0,,404415.0,0,2986630.0,7440.0,14.11.2019,,08.12.2019
24/9-15 S,24/9-15,Aker BP ASA,340 ,WILDCAT,PLUGGED,OIL,EXPLORATION, NO,29.03.2019,18.04.2019,,1751-L,24/9-15 S (Froskelår Nordøst),YES,,RPS 1101,D0-06. SP462,,34.0,,4310.0,119.0,1818.0,EOCENE              ,,NORTH SEA,SCARABEO 8,SEMISUB STEEL,MOVEABLE,TFO2004,NO,WILDCAT,2019,2019,,,5,,EOCENE,,,,                    ,21,NO,869.0,,18.04.2019,ED50  ,59,20,29.04,N,1,49,55.35,E,59.3414,1.8320419999999997,6578803.03,433562.43,31,24,9, ,15,S,,https://www.npd.no/fakta/nyheter/Resultat-av-leteboring/2019/lite-oljefunn-og-avgrensning-av-oljefunnet-249-12-s-frosk-i-nordsjoen--249-15-s-og-249-15-a/,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8675,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=8675,initial             ,                                        ,,18.04.2021,,8675,34925263.0,,404415.0,0,2986630.0,7440.0,14.11.2019,,08.12.2019
30/9-27 S,30/9-27,Statoil Petroleum AS,104 ,APPRAISAL,PLUGGED,OIL,EXPLORATION, NO,20.08.2015,25.08.2015,OSEBERG,1529-L,30/9-19,NO,0.0,,,0.0,29.0,3353.0,3989.0,103.0,,MIDDLE JURASSIC     ,TARBERT FM          ,NORTH SEA,SONGA DELTA,SEMISUB STEEL,MOVEABLE,9,NO,WILDCAT,2015,2015,,,5,TARBERT FM,MIDDLE JURASSIC,,,                    ,                    ,8,NO,,,,ED50  ,60,24,0.53,N,2,40,15.76,E,60.400147,2.6710439999999998,6696178.71,481872.79,31,30,9, ,27,S,,https://www.npd.no/fakta/nyheter/Resultat-av-leteboring/2015/309-27-S/,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=7522,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=7522,initial             ,                                        ,25.08.2017,25.08.2017,,7522,96300.0,43625.0,287821.0,0,21636.0,,03.10.2019,03.10.2019,08.12.2019
34/8-18 S,34/8-18,Equinor Energy AS,120 ,WILDCAT,PLUGGED,OIL,EXPLORATION, NO,09.02.2019,22.02.2019,,1731-L,34/8-18  S (Telesto),YES,,,Survey: ST10015. Inline: 1809. X-line: 1792,,29.0,,6068.0,335.0,3619.0,LATE TRIASSIC       ,,NORTH SEA,VISUND,SEMISUB STEEL,FIXED,10-A,NO,WILDCAT,2019,2019,,,5,,EARLY JURASSIC,,,,                    ,14,NO,,,22.02.2019,ED50  ,61,22,13.34,N,2,27,34.38,E,61.370371999999996,2.45955,6804323.95,471109.05,31,34,8, ,18,S,,https://www.npd.no/fakta/nyheter/Resultat-av-leteboring/2019/348-18-S/,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8607,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=8607,initial             ,                                        ,,22.02.2021,,8607,34736238.0,,277685.0,0,21772.0,,15.10.2019,,08.12.2019
34/8-19 S,34/8-19,Equinor Energy AS,120 ,WILDCAT,PLUGGED,DRY,EXPLORATION, NO,12.06.2018,20.06.2018,,1692-L,,NO,,,ST15003D15. IL2541/XL1559. IL2552/XL1576,,30.0,,6100.0,378.0,4735.0,EARLY JURASSIC      ,,NORTH SEA,DEEPSEA ATLANTIC,SEMISUB STEEL,MOVEABLE,10-A,NO,WILDCAT,2018,2018,,,1,,,,,,                    ,9,NO,,,,ED50  ,61,26,6.84,N,2,35,24.37,E,61.435233,2.590103,6811498.32,478133.35,31,34,8, ,19,S,,https://www.npd.no/fakta/nyheter/Resultat-av-leteboring/2018/348-19-S/,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8396,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=8396,initial             ,                                        ,,20.06.2020,,8396,,,404360.0,0,21772.0,,04.11.2019,,08.12.2019
34/10-55 S,34/10-55,Statoil Petroleum AS,050 ,WILDCAT,PLUGGED,OIL/GAS,EXPLORATION, NO,08.02.2017,03.04.2017,SINDRE,1649-L,34/10-55 S,YES,0.0,,,0.0,84.1,3811.0,7811.0,217.0,2710.0,LATE TRIASSIC       ,LUNDE FM            ,NORTH SEA,GULLFAKS C,CONDEEP 4 SHAFTS,FIXED,Awarded additionally to round 3,NO,WILDCAT,2017,2017,,,13,STATFJORD GP,EARLY JURASSIC,LUNDE FM,LATE TRIASSIC,                    ,                    ,32,NO,,,26.03.2017,ED50  ,61,12,54.7,N,2,16,26.88,E,61.215194,2.274133,6787134.93,461005.36,31,34,10, ,55,S,,https://www.npd.no/fakta/nyheter/Resultat-av-leteboring/2017/3410-55-S/,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8102,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=8102,initial             ,                                        ,04.04.2019,03.04.2019,,8102,29394737.0,29401178.0,272645.0,0,21188.0,,15.11.2019,15.11.2019,08.12.2019
34/11-5 S,34/11-5,Statoil ASA (old),193 ,APPRAISAL,PLUGGED,GAS/CONDENSATE,EXPLORATION, NO,03.02.2006,03.07.2006,VALEMON,1106-L,34/10-23 Valemon,NO,161.0,,line9671-survey ST0407,70.0,60.5,4432.0,7380.0,190.0,1271.0,EARLY JURASSIC      ,DRAKE FM            ,NORTH SEA,KVITEBJØRN,JACKET 4 LEGS,FIXED,14,NO,APPRAISAL,2006,2006,,,17,TARBERT FM,MIDDLE JURASSIC,,,                    ,                    ,106,NO,,,06.05.2008,ED50  ,61,4,49.01,N,2,29,59.0,E,61.08028100000001,2.499722,6771993.27,473009.2,31,34,11, ,5,S,,https://www.npd.no/fakta/nyheter/Resultat-av-leteboring/2006/3411--5-S/,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5248,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=5248,initial             ,                                        ,15.08.2008,03.07.2008,,5248,44618.0,20460969.0,280877.0,0,22356.0,,03.10.2019,03.10.2019,08.12.2019
6507/5-6 S,6507/5-6,BP Norge AS,212 ,APPRAISAL,PLUGGED,GAS,EXPLORATION, NO,12.01.2010,08.06.2010,ÆRFUGL,1294-L,6507/5-3 Ærfugl,NO,0.0,,Survey BP 0501-R8-inline 1214 & crossline 1374 Enterypoint mudline,70.8,31.0,2907.0,4991.0,325.0,,LATE CRETACEOUS     ,LANGE FM            ,NORWEGIAN SEA,BORGLAND DOLPHIN,SEMISUB STEEL,MOVEABLE,15,NO,WILDCAT,2010,2010,,,9,LYSING FM,LATE CRETACEOUS,,,                    ,                    ,148,NO,,,08.06.2010,ED50  ,65,44,19.36,N,7,39,20.52,E,65.738711,7.6557,7291629.85,438363.83,32,6507,5, ,6,S,,https://www.npd.no/fakta/nyheter/Resultat-av-leteboring/2010/65075-6-S,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=6321,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=6321,initial             ,                                        ,08.06.2012,08.06.2012,,6321,1036252.0,33310197.0,297784.0,0,22508.0,,03.10.2019,03.10.2019,08.12.2019
